ImageID,Latitude,Longitude,ResolutionUnit,ExifOffset,Make,Model,Software,DateTime,XResolution,YResolution,ExifVersion,ShutterSpeedValue,ApertureValue,DateTimeOriginal,DateTimeDigitized,ExposureBiasValue,MaxApertureValue,SubjectDistance,MeteringMode,LightSource,Flash,FocalLength,ColorSpace,DigitalZoomRatio,FocalLengthIn35mmFilm,SceneCaptureType,OffsetTime,Contrast,Saturation,Sharpness,FileSource,ExposureTime,FNumber,SceneType,ExposureProgram,CustomRendered,ISOSpeedRatings,ExposureMode,SensitivityType,WhiteBalance,BodySerialNumber,LensSpecification,LensModel,GainControl
Waterville Brown Tail 2022-1406.jpg,44.576245166666666,-69.65300136166667,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 08:51:57,300.0,300.0,b'0231',7.906891,2.970854,2022:12:13 09:21:54,2022:12:13 09:21:54,0.0,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.004166666666666667,2.8,b'\x01',2,0,100,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-1360.jpg,44.57569983333333,-69.65269911166666,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 08:50:46,300.0,300.0,b'0231',6.321928,2.970854,2022:12:13 09:20:17,2022:12:13 09:20:17,1.3,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.0125,2.8,b'\x01',2,0,100,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-4218.jpg,44.58265016666667,-69.66031311166667,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 10:04:35,300.0,300.0,b'0231',8.965784,2.970854,2022:12:13 11:39:16,2022:12:13 11:39:16,-0.7,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.002,2.8,b'\x01',2,0,110,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-3577.jpg,44.580665195,-69.65620913833334,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 09:48:52,300.0,300.0,b'0231',9.965784,2.970854,2022:12:13 10:41:35,2022:12:13 10:41:35,0.0,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.001,2.8,b'\x01',2,0,180,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-2669.jpg,44.572612471666666,-69.65254722166667,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 09:23:21,300.0,300.0,b'0231',9.643856,2.970854,2022:12:13 10:07:59,2022:12:13 10:07:59,-1.3,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.00125,2.8,b'\x01',2,0,110,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-3563.jpg,44.5805245,-69.656087695,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 09:48:28,300.0,300.0,b'0231',8.965784,2.970854,2022:12:13 10:41:21,2022:12:13 10:41:21,-0.7,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.002,2.8,b'\x01',2,0,100,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-1374.jpg,44.57591241666667,-69.65282091666667,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 08:51:08,300.0,300.0,b'0231',9.321928,2.970854,2022:12:13 09:20:34,2022:12:13 09:20:34,-1.3,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.0015625,2.8,b'\x01',2,0,110,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-1412.jpg,44.576273195,-69.65301522166666,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 08:52:04,300.0,300.0,b'0231',8.643856,2.970854,2022:12:13 09:21:58,2022:12:13 09:21:58,-0.7,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.0025,2.8,b'\x01',2,0,100,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-3205.jpg,44.576608916666665,-69.65382625,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 09:39:40,300.0,300.0,b'0231',9.321928,2.970854,2022:12:13 10:32:15,2022:12:13 10:32:15,-1.3,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.0015625,2.8,b'\x01',2,0,130,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
Waterville Brown Tail 2022-2133.jpg,44.5775705,-69.65386925,2,232,Hasselblad,L2D-20c,Adobe Photoshop Lightroom Classic 12.0.1 (Macintosh),2022:12:22 09:10:12,300.0,300.0,b'0231',7.321928,2.970854,2022:12:13 09:50:49,2022:12:13 09:50:49,0.7,2.97,0.0,1,1,0,12.29,1,1.0,24,0,-05:00,0,0,0,b'\x03',0.00625,2.8,b'\x01',2,0,120,0,2,0,493OJ7F7AA01XT,"(24.0, 24.0, 2.8, 11.0)",24.0 mm f/2.8,0
